id,name,duration_min,intensity,muscle_group,age,gender,goal,bmi,fitness_level
1,Push Ups,10,Medium,Chest,25,Male,Build Muscle,24.5,Intermediate
2,Squats,15,High,Legs,30,Female,Weight Loss,22.1,Beginner
3,Plank,5,Low,Core,28,Male,Toning,23.4,Beginner
4,Burpees,12,High,Full Body,35,Female,Endurance,27.8,Intermediate
5,Lunges,10,Medium,Legs,22,Male,Build Muscle,21.9,Beginner
6,Pull Ups,8,High,Back,29,Female,Strength,25.2,Intermediate
7,Bench Press,15,Medium,Chest,32,Male,Strength,26.1,Advanced
8,Jumping Jacks,10,Low,Cardio,24,Female,Weight Loss,20.7,Beginner
9,Bicep Curls,12,Medium,Arms,27,Male,Toning,23.8,Intermediate
10,Mountain Climbers,8,High,Full Body,31,Female,Endurance,26.4,Intermediate
11,Deadlifts,15,High,Back,28,Male,Build Muscle,27.5,Advanced
12,Shoulder Press,10,Medium,Arms,35,Female,Strength,24.6,Intermediate
13,Crunches,5,Low,Core,23,Male,Toning,22.9,Beginner
14,Leg Press,15,High,Legs,30,Female,Build Muscle,25.1,Intermediate
15,Tricep Dips,8,Medium,Arms,26,Male,Toning,23.5,Intermediate
16,Push Ups,12,High,Chest,32,Female,Endurance,28.2,Advanced
17,Squats,10,Medium,Legs,24,Male,Weight Loss,22.8,Beginner
18,Plank,5,Low,Core,29,Female,Toning,23.7,Beginner
19,Burpees,15,High,Full Body,31,Male,Endurance,26.3,Intermediate
20,Lunges,12,Medium,Legs,27,Female,Build Muscle,24.1,Intermediate
21,Push Ups,12,Medium,Chest,26,Female,Toning,22.4,Beginner
22,Squats,15,High,Legs,29,Male,Build Muscle,25.9,Intermediate
23,Plank,6,Low,Core,31,Female,Toning,23.3,Beginner
24,Burpees,12,High,Full Body,33,Male,Endurance,26.7,Intermediate
25,Lunges,10,Medium,Legs,28,Female,Weight Loss,23.1,Beginner
26,Pull Ups,8,High,Back,32,Male,Strength,27.2,Intermediate
