name,duration_min,intensity,muscle_group,age,gender,goal,bmi,fitness_level
Push Ups,10.0,medium,chest,25,male,build muscle,24.5,intermediate
Squats,15.0,high,legs,30,female,weight loss,22.1,beginner
Plank,5.0,low,core,28,male,toning,23.4,beginner
Burpees,12.0,high,full body,35,female,endurance,27.8,intermediate
Lunges,10.0,medium,legs,22,male,build muscle,21.9,beginner
Pull Ups,8.0,high,back,29,female,strength,25.2,intermediate
Bench Press,15.0,medium,chest,32,male,strength,26.1,advanced
Jumping Jacks,10.0,low,cardio,24,female,weight loss,20.7,beginner
Bicep Curls,12.0,medium,arms,27,male,toning,23.8,intermediate
Mountain Climbers,8.0,high,full body,31,female,endurance,26.4,intermediate
Deadlifts,15.0,high,back,28,male,build muscle,27.5,advanced
Shoulder Press,10.0,medium,arms,35,female,strength,24.6,intermediate
Crunches,5.0,low,core,23,male,toning,22.9,beginner
Leg Press,15.0,high,legs,30,female,build muscle,25.1,intermediate
Tricep Dips,8.0,medium,arms,26,male,toning,23.5,intermediate
Push Ups,12.0,high,chest,32,female,endurance,28.2,advanced
Squats,10.0,medium,legs,24,male,weight loss,22.8,beginner
Plank,5.0,low,core,29,female,toning,23.7,beginner
Burpees,15.0,high,full body,31,male,endurance,26.3,intermediate
Lunges,12.0,medium,legs,27,female,build muscle,24.1,intermediate
Push Ups,12.0,medium,chest,26,female,toning,22.4,beginner
Squats,15.0,high,legs,29,male,build muscle,25.9,intermediate
Plank,6.0,low,core,31,female,toning,23.3,beginner
Burpees,12.0,high,full body,33,male,endurance,26.7,intermediate
Lunges,10.0,medium,legs,28,female,weight loss,23.1,beginner
Pull Ups,8.0,high,back,32,male,strength,27.2,intermediate
Bench Press,15.0,medium,chest,29,female,build muscle,24.9,advanced
Jumping Jacks,10.0,low,cardio,25,male,weight loss,21.5,beginner
Bicep Curls,12.0,medium,arms,27,female,toning,24.3,intermediate
Mountain Climbers,9.0,high,full body,31,male,endurance,26.1,intermediate
Deadlifts,16.0,high,back,30,female,build muscle,25.7,advanced
Shoulder Press,11.0,medium,arms,34,male,strength,27.6,intermediate
Crunches,6.0,low,core,24,female,toning,22.8,beginner
Leg Press,14.0,high,legs,29,male,build muscle,26.2,intermediate
Tricep Dips,8.0,medium,arms,28,female,toning,24.0,intermediate
Push Ups,12.0,high,chest,32,male,endurance,28.1,advanced
Squats,10.0,medium,legs,26,female,weight loss,22.7,beginner
Plank,5.0,low,core,30,male,toning,23.6,beginner
Burpees,15.0,high,full body,33,female,endurance,26.9,intermediate
Lunges,12.0,medium,legs,27,male,build muscle,24.2,intermediate
Push Ups,11.0,medium,chest,25,female,toning,22.5,beginner
Squats,16.0,high,legs,28,male,build muscle,26.0,intermediate
Plank,6.0,low,core,32,female,toning,23.4,beginner
Burpees,13.0,high,full body,34,male,endurance,27.0,intermediate
Lunges,10.0,medium,legs,29,female,weight loss,23.3,beginner
Pull Ups,9.0,high,back,31,male,strength,27.4,intermediate
Bench Press,15.0,medium,chest,30,female,build muscle,25.0,advanced
Jumping Jacks,10.0,low,cardio,26,male,weight loss,21.6,beginner
Bicep Curls,12.0,medium,arms,28,female,toning,24.2,intermediate
Mountain Climbers,9.0,high,full body,32,male,endurance,26.2,intermediate
Deadlifts,15.0,high,back,29,female,build muscle,25.8,advanced
Shoulder Press,11.0,medium,arms,33,male,strength,27.7,intermediate
Crunches,5.0,low,core,24,female,toning,22.9,beginner
Leg Press,14.0,high,legs,30,male,build muscle,26.3,intermediate
Tricep Dips,8.0,medium,arms,27,female,toning,24.1,intermediate
Push Ups,12.0,high,chest,31,male,endurance,28.3,advanced
Squats,10.0,medium,legs,26,female,weight loss,22.9,beginner
Plank,5.0,low,core,29,male,toning,23.5,beginner
Burpees,15.0,high,full body,34,female,endurance,27.1,intermediate
Lunges,12.0,medium,legs,28,male,build muscle,24.3,intermediate
Push Ups,12.0,medium,chest,25,female,toning,22.6,beginner
Squats,15.0,high,legs,29,male,build muscle,26.1,intermediate
Plank,6.0,low,core,31,female,toning,23.2,beginner
Burpees,12.0,high,full body,33,male,endurance,26.8,intermediate
Lunges,10.0,medium,legs,28,female,weight loss,23.0,beginner
Pull Ups,8.0,high,back,32,male,strength,27.3,intermediate
Bench Press,15.0,medium,chest,29,female,build muscle,25.1,advanced
Jumping Jacks,10.0,low,cardio,26,male,weight loss,21.8,beginner
Bicep Curls,12.0,medium,arms,28,female,toning,24.0,intermediate
Mountain Climbers,9.0,high,full body,32,male,endurance,26.0,intermediate
Deadlifts,15.0,high,back,29,female,build muscle,25.9,advanced
Shoulder Press,11.0,medium,arms,33,male,strength,27.5,intermediate
Crunches,5.0,low,core,24,female,toning,22.7,beginner
Leg Press,14.0,high,legs,30,male,build muscle,26.1,intermediate
Tricep Dips,8.0,medium,arms,27,female,toning,24.2,intermediate
Push Ups,12.0,high,chest,31,male,endurance,28.4,advanced
Squats,10.0,medium,legs,26,female,weight loss,22.8,beginner
Plank,5.0,low,core,29,male,toning,23.3,beginner
Burpees,15.0,high,full body,34,female,endurance,27.2,intermediate
Lunges,12.0,medium,legs,28,male,build muscle,24.4,intermediate
Push Ups,12.0,medium,chest,25,female,toning,22.7,beginner
Squats,15.0,high,legs,29,male,build muscle,26.2,intermediate
Plank,6.0,low,core,31,female,toning,23.3,beginner
Burpees,12.0,high,full body,33,male,endurance,26.9,intermediate
Lunges,10.0,medium,legs,28,female,weight loss,23.2,beginner
Pull Ups,8.0,high,back,32,male,strength,27.6,intermediate
Bench Press,15.0,medium,chest,29,female,build muscle,25.2,advanced
Jumping Jacks,10.0,low,cardio,26,male,weight loss,21.9,beginner
Bicep Curls,12.0,medium,arms,28,female,toning,24.1,intermediate
Mountain Climbers,9.0,high,full body,32,male,endurance,26.3,intermediate
Deadlifts,15.0,high,back,29,female,build muscle,26.0,advanced
Shoulder Press,11.0,medium,arms,33,male,strength,27.8,intermediate
Crunches,5.0,low,core,24,female,toning,22.8,beginner
Leg Press,14.0,high,legs,30,male,build muscle,26.2,intermediate
Tricep Dips,8.0,medium,arms,27,female,toning,24.3,intermediate
Push Ups,12.0,high,chest,31,male,endurance,28.5,advanced
Squats,10.0,medium,legs,26,female,weight loss,22.9,beginner
Plank,5.0,low,core,29,male,toning,23.4,beginner
Burpees,15.0,high,full body,34,female,endurance,27.3,intermediate
Lunges,12.0,medium,legs,28,male,build muscle,24.5,intermediate
